CELL_ID	MARKER_1	MARKER_2	MARKER_3	MARKER_4	MARKER_5	MARKER_6	MARKER_7	MARKER_8	MARKER_9	MARKER_10	MARKER_11	MARKER_12	MARKER_13	MARKER_14	MARKER_15	MARKER_16	MARKER_17	MARKER_18	MARKER_19	MARKER_20	MARKER_21	MARKER_22	MARKER_23	MARKER_24	MARKER_25	MARKER_26	MARKER_27	MARKER_28	MARKER_29	MARKER_30	MARKER_31	MARKER_32	MARKER_33	MARKER_34	MARKER_35	MARKER_36	MARKER_37	MARKER_38	MARKER_39	MARKER_40	MARKER_41	MARKER_42	MARKER_43	MARKER_44	MARKER_45	MARKER_46	MARKER_47	MARKER_48
1C 1	14.01	19.28	23.89	28.0	28.0	21.28	20.84	28.0	23.08	17.17	27.35	19.69	28.0	17.56	28.0	16.21	21.23	13.88	22.44	13.21	20.13	28.0	20.21	19.32	19.39	18.02	28.0	20.48	21.86	22.61	28.0	22.76	28.0	18.19	25.4	16.29	15.72	24.16	18.24	13.94	23.84	16.33	22.54	22.82	16.26	28.0	28.0	18.53
1C 2	13.68	18.56	28.0	28.0	28.0	23.43	20.93	28.0	23.05	17.2	25.25	18.9	28.0	17.4	28.0	15.69	20.39	13.63	24.94	13.1	19.5	23.45	20.03	19.65	18.94	17.25	28.0	17.59	21.81	23.34	28.0	26.68	23.3	17.63	28.0	15.81	15.48	28.0	17.77	13.54	25.0	16.13	20.66	26.33	16.14	28.0	28.0	18.29
1C 3	13.42	18.19	26.18	28.0	28.0	22.87	19.61	28.0	21.73	17.05	26.16	18.92	28.0	17.27	28.0	14.92	20.26	13.7	24.63	12.97	20.06	28.0	20.29	18.6	19.26	17.91	28.0	16.92	20.23	22.73	28.0	21.53	23.71	17.32	24.27	15.89	15.47	28.0	17.51	13.5	28.0	15.9	20.32	22.93	15.47	28.0	28.0	18.92
1C 4	13.69	18.59	28.0	28.0	28.0	23.28	20.72	28.0	22.92	17.19	24.12	19.11	28.0	17.0	28.0	15.63	21.58	13.86	23.24	13.07	20.1	28.0	20.8	19.38	19.8	16.91	28.0	17.89	21.88	24.11	28.0	23.24	23.87	17.84	27.41	15.96	15.43	28.0	16.52	13.22	28.0	16.16	28.0	28.0	15.85	28.0	28.0	19.25
1C 5	13.47	18.6	24.2	28.0	28.0	24.19	21.75	23.69	22.41	17.23	23.47	19.56	28.0	17.55	24.76	15.55	20.4	13.52	22.45	12.94	21.37	28.0	21.42	18.95	19.31	17.0	28.0	16.83	20.19	23.43	28.0	28.0	28.0	17.39	25.6	16.16	15.69	28.0	17.82	13.41	24.26	16.15	20.15	24.32	16.05	28.0	28.0	18.77
1C 6	12.86	17.37	25.53	28.0	28.0	21.87	21.27	28.0	22.93	16.46	23.18	18.6	28.0	17.11	25.74	15.01	20.8	12.74	23.7	12.65	20.03	28.0	21.4	18.45	19.55	16.7	28.0	16.34	19.16	20.98	28.0	24.01	28.0	17.16	24.64	15.43	15.17	28.0	15.85	12.66	23.16	15.24	22.27	23.52	16.0	28.0	28.0	18.79
1C 7	12.95	17.37	23.93	28.0	28.0	22.74	21.12	28.0	25.33	17.04	24.59	18.8	28.0	16.71	28.0	14.76	23.25	13.76	23.42	12.6	20.84	23.15	20.74	18.07	18.67	16.73	28.0	16.73	19.66	21.81	28.0	21.87	25.91	16.84	25.59	15.22	14.9	28.0	16.69	12.76	24.77	14.86	21.05	22.98	16.06	28.0	28.0	18.44
1C 8	12.77	18.4	23.68	28.0	28.0	24.14	19.8	28.0	22.84	16.9	25.69	18.65	28.0	16.72	24.31	15.18	20.87	12.59	21.16	12.96	20.12	28.0	22.27	17.75	19.6	17.71	28.0	17.33	20.08	21.61	28.0	22.5	28.0	16.68	26.03	15.52	15.61	22.43	17.75	12.6	24.55	15.4	22.15	24.66	15.88	28.0	28.0	18.41
1C 9	13.29	18.26	28.0	28.0	28.0	21.91	21.18	28.0	23.55	16.28	25.64	19.05	28.0	16.92	24.1	14.99	21.12	13.25	23.22	13.11	20.99	23.34	20.67	18.2	18.66	17.3	28.0	18.38	20.49	21.57	28.0	28.0	28.0	17.92	27.42	16.09	15.51	28.0	17.52	13.37	23.65	15.88	23.32	28.0	15.6	28.0	28.0	18.9
1C 10	15.64	28.0	23.4	28.0	28.0	23.03	23.39	28.0	25.83	21.26	25.68	20.5	18.03	21.27	21.9	16.79	21.29	13.51	24.45	18.61	18.54	28.0	23.78	19.76	19.33	17.38	23.13	28.0	24.79	24.99	28.0	28.0	28.0	28.0	28.0	18.56	18.92	28.0	21.26	15.69	22.91	15.3	18.92	22.79	16.54	28.0	28.0	19.31
1C 11	16.08	23.68	28.0	28.0	28.0	22.59	21.94	21.2	28.0	21.81	27.47	20.94	17.54	21.58	23.67	16.89	20.88	13.69	24.41	19.98	18.81	24.59	24.04	22.46	20.03	17.14	24.15	28.0	24.16	22.41	28.0	28.0	28.0	22.95	28.0	19.0	18.83	28.0	21.76	16.11	24.37	15.45	18.99	24.9	17.29	28.0	23.7	20.99
1C 12	15.84	24.16	20.14	28.0	28.0	21.71	28.0	21.66	24.5	22.53	22.72	19.83	28.0	22.53	22.99	16.57	21.35	15.98	23.87	18.19	19.35	22.78	23.45	21.81	18.78	16.88	24.45	28.0	23.96	21.82	28.0	28.0	21.68	19.53	22.61	18.67	18.24	28.0	16.48	16.42	28.0	16.56	21.99	22.98	18.34	28.0	28.0	21.15
1C 13	17.04	24.57	21.15	28.0	28.0	25.13	28.0	21.78	28.0	22.93	24.95	20.68	21.98	22.63	22.22	16.59	20.92	15.93	24.73	19.27	19.42	28.0	23.41	22.74	18.81	17.68	23.9	28.0	24.39	20.98	28.0	24.6	22.78	19.96	24.33	19.67	18.81	28.0	18.78	16.9	22.43	16.72	19.77	22.46	18.79	28.0	28.0	21.78
1C 14	15.94	24.5	28.0	23.14	28.0	23.8	28.0	28.0	28.0	21.98	26.71	22.37	17.74	22.04	24.61	16.44	21.55	14.25	28.0	18.82	18.7	28.0	23.02	21.97	19.57	17.27	23.39	28.0	25.65	23.44	28.0	28.0	24.24	22.01	28.0	18.87	19.11	28.0	21.78	16.8	22.98	15.69	19.3	21.85	17.5	28.0	25.24	20.15
1C 15	15.93	28.0	28.0	24.45	28.0	25.03	24.51	22.69	28.0	22.43	25.73	21.19	17.6	21.91	22.7	16.76	21.25	13.69	28.0	19.86	18.34	23.55	28.0	21.98	19.27	16.94	23.51	27.71	27.98	24.21	28.0	28.0	23.32	20.85	27.52	18.4	19.27	23.36	20.33	16.32	23.25	15.53	18.89	26.62	17.17	28.0	28.0	19.83
1C 16	16.35	28.0	23.02	28.0	28.0	24.15	28.0	28.0	28.0	22.7	25.5	21.12	20.88	23.71	24.31	16.25	22.37	15.29	28.0	19.84	19.23	21.07	23.81	26.83	18.66	16.36	26.74	28.0	25.12	21.44	28.0	28.0	28.0	20.57	23.54	19.07	18.92	23.06	23.81	17.44	22.9	15.97	23.9	21.77	18.78	24.37	28.0	20.2
1C 17	15.59	25.93	28.0	22.86	28.0	22.81	22.49	21.65	28.0	20.91	26.06	20.37	17.83	22.47	24.29	16.23	21.11	13.47	28.0	19.61	18.79	18.3	24.04	23.07	20.22	16.93	23.21	28.0	26.31	21.35	28.0	23.45	26.99	21.71	24.6	19.35	19.02	28.0	22.28	16.15	24.85	15.22	18.72	24.85	16.74	28.0	26.86	20.34
1C 18	15.75	26.01	28.0	22.73	28.0	22.08	21.59	21.41	28.0	22.41	23.83	21.67	18.61	21.67	23.2	16.97	20.67	13.86	28.0	19.14	18.71	28.0	22.67	23.4	20.46	16.84	24.15	23.6	28.0	21.84	28.0	28.0	24.61	22.56	22.58	19.18	19.6	22.95	20.65	16.67	22.95	15.49	19.98	22.0	17.2	23.94	28.0	20.64
1C 19	15.37	24.35	24.16	21.74	28.0	23.6	28.0	20.86	24.82	22.68	25.13	20.53	17.46	21.73	21.93	17.24	22.36	14.05	24.02	19.6	18.6	17.13	28.0	22.57	18.95	16.62	23.46	21.44	25.22	20.43	28.0	28.0	22.91	22.81	24.55	19.15	19.79	21.72	19.34	16.62	23.27	15.77	19.09	22.65	17.26	25.27	28.0	19.32
1C 20	15.06	23.46	23.22	24.53	28.0	24.4	22.41	20.89	28.0	21.65	21.87	20.84	17.79	21.37	23.68	16.07	28.0	14.13	22.82	19.3	18.52	16.93	28.0	20.47	17.58	16.45	24.73	22.31	22.8	20.26	28.0	28.0	24.95	21.51	23.39	19.81	20.07	24.15	18.76	17.27	22.37	14.81	19.62	28.0	17.52	26.31	24.04	18.96
1C 21	15.57	23.83	23.32	28.0	28.0	22.48	21.63	21.69	28.0	22.7	28.0	20.76	16.72	22.43	21.5	15.56	22.85	13.64	28.0	19.42	17.86	23.26	23.51	22.64	18.54	16.83	25.64	22.46	22.72	24.59	28.0	28.0	28.0	18.05	24.35	18.68	18.47	28.0	18.03	16.2	23.53	15.14	18.98	22.23	16.9	28.0	28.0	19.62
1C 22	15.87	28.0	22.75	28.0	26.66	23.51	28.0	28.0	28.0	21.89	27.43	22.38	17.18	21.25	21.84	15.48	23.94	13.79	28.0	18.68	18.96	28.0	22.35	20.29	21.65	16.85	23.48	23.53	28.0	24.1	28.0	28.0	28.0	28.0	22.98	19.03	18.01	24.47	18.29	17.2	22.74	15.15	19.08	22.65	16.78	28.0	28.0	20.3
1C 23	16.21	24.05	23.76	25.84	28.0	22.06	22.28	28.0	24.91	23.87	25.72	21.44	17.72	22.3	22.74	17.25	21.24	13.53	23.72	20.03	20.08	28.0	21.68	21.31	19.39	17.35	24.56	28.0	25.88	22.34	28.0	24.7	24.34	21.97	28.0	19.13	19.26	28.0	21.19	16.75	22.53	15.28	19.1	22.99	17.11	22.61	28.0	19.99
1C 24	15.91	23.35	28.0	28.0	28.0	22.42	28.0	28.0	28.0	22.57	27.54	23.33	17.65	23.7	22.6	16.51	21.13	13.52	28.0	20.09	18.94	24.62	21.94	21.51	18.67	17.53	24.17	28.0	26.71	21.67	28.0	28.0	25.09	21.31	25.38	19.18	18.83	28.0	20.83	16.59	23.53	15.31	18.96	28.0	17.35	22.71	28.0	20.64
1C 25	15.82	28.0	24.08	28.0	28.0	23.99	23.49	20.39	28.0	22.8	24.22	21.42	18.22	22.3	23.05	17.15	23.55	13.52	20.92	20.84	19.19	16.95	28.0	22.0	17.27	17.11	25.49	21.93	24.04	22.36	28.0	28.0	26.94	22.14	23.61	20.52	20.14	22.84	20.88	16.45	22.26	15.78	19.87	22.95	17.25	22.18	23.34	20.48
1C 26	15.3	25.47	24.45	25.8	28.0	22.24	23.76	19.97	28.0	22.22	25.43	22.25	17.59	22.54	22.53	17.1	21.94	13.55	22.88	20.12	19.17	18.32	28.0	22.44	18.43	17.18	23.84	28.0	25.4	22.39	28.0	23.38	26.92	20.4	23.94	19.78	19.51	22.79	20.47	16.71	24.4	16.17	20.22	28.0	16.94	23.61	23.96	19.74
1C 27	15.51	25.1	28.0	28.0	26.45	22.26	24.03	28.0	28.0	22.38	28.0	22.25	18.48	22.8	21.75	18.52	22.19	13.82	23.02	19.28	19.37	21.38	22.48	21.26	18.83	17.19	25.5	28.0	27.61	23.91	28.0	28.0	23.49	23.0	28.0	21.2	19.85	23.21	19.34	16.67	22.73	16.0	19.81	23.7	17.99	28.0	28.0	19.22
1C 28	15.84	25.39	28.0	28.0	28.0	21.91	22.28	25.6	28.0	22.54	23.64	21.22	19.17	21.53	22.15	17.61	20.86	13.99	22.6	19.91	18.89	21.85	23.66	23.07	19.0	17.24	27.37	28.0	28.0	22.69	28.0	28.0	23.56	23.53	28.0	20.16	19.29	22.71	19.09	16.75	23.11	16.25	20.78	28.0	17.94	23.28	23.96	19.15
1C 29	15.74	24.39	23.61	28.0	28.0	22.33	23.87	22.71	28.0	25.27	28.0	22.27	19.19	21.51	23.85	18.91	21.65	15.45	22.28	24.08	21.02	16.93	24.0	24.58	18.72	18.51	23.85	28.0	25.32	21.6	28.0	28.0	21.2	19.08	24.57	21.95	19.85	22.77	22.68	17.6	23.06	18.5	23.97	24.57	17.48	28.0	28.0	20.97
1C 30	16.01	28.0	23.64	28.0	28.0	22.83	28.0	28.0	25.25	28.0	28.0	21.89	20.29	25.45	23.64	19.98	20.49	16.51	24.94	23.51	21.34	17.09	28.0	28.0	17.02	17.74	26.73	28.0	28.0	21.87	28.0	28.0	21.71	22.34	28.0	28.0	21.49	24.23	28.0	17.88	28.0	20.06	22.37	24.08	18.1	24.43	28.0	22.48
1C 31	15.91	23.37	20.33	28.0	28.0	23.27	24.1	20.51	28.0	28.0	28.0	21.47	19.59	24.43	21.26	18.84	28.0	14.71	20.79	22.14	20.07	17.77	24.07	24.41	16.93	18.21	25.87	28.0	28.0	21.72	28.0	28.0	19.4	20.67	24.68	25.0	19.45	23.9	25.57	17.5	22.45	18.88	20.31	22.03	17.41	28.0	28.0	21.55
1C 32	15.94	24.58	20.77	28.0	28.0	22.97	28.0	19.96	28.0	28.0	28.0	21.46	18.01	24.04	28.0	19.35	21.15	15.03	22.23	28.0	19.88	17.73	28.0	28.0	16.83	17.85	24.76	28.0	27.39	21.88	28.0	28.0	21.53	28.0	28.0	21.86	19.98	23.91	24.04	17.55	23.1	17.48	21.25	22.8	17.35	22.85	28.0	20.82
1C 33	16.11	23.52	20.61	28.0	28.0	23.7	28.0	21.22	21.79	28.0	28.0	21.03	18.64	22.84	21.8	19.0	20.69	15.11	27.31	21.17	21.01	16.93	28.0	28.0	16.86	18.21	25.58	27.51	28.0	22.5	28.0	28.0	21.55	21.42	25.01	18.95	19.66	23.14	22.86	17.07	22.53	16.87	20.47	28.0	17.35	28.0	26.28	22.14
